Position,Team,Points
1,Brazil,1832
2,Belgium,1827
3,France,1790
4,Argentina,1765
5,England,1761
7,Spain,1709
8,Portugal,1675
9,Mexico,1659
10,Netherlands,1656
11,Denmark,1654
12,Germany,1651
13,Uruguay,1636
14,Switzerland,1635
15,USA,1633
16,Croatia,1621
18,Wales,1588
20,Senegal,1584
21,Iran,1564
23,Japan,1553
24,Morocco,1551
25,Serbia,1548
26,Poland,1544
29,South Korea,1520
31,Costa Rica,1503
35,Tunisia,1500
37,Cameroon,1480
38,Canada,1479
42,Australia,1462
46,Ecuador,1453
49,Saudi Arabia,1445
51,Qatar,1441
60,Ghana,1387
